subject,training_fraction,training_trials,repeat,balanced_accuracy
6,1.0,31,2,0.4285714285714286
6,1.0,31,3,0.4285714285714286
6,1.0,31,4,0.4285714285714286
7,0.25,7,0,0.7142857142857143
7,0.25,7,1,0.7857142857142857
7,0.25,7,2,0.9285714285714286
7,0.25,7,3,0.5714285714285714
7,0.25,7,4,0.9285714285714286
7,0.5,15,0,0.8571428571428571
7,0.5,15,1,0.8571428571428571
7,0.5,15,2,0.7857142857142857
7,0.5,15,3,0.9285714285714286
7,0.5,15,4,1.0
7,0.75,23,0,0.8571428571428571
7,0.75,23,1,0.8571428571428571
7,0.75,23,2,0.8571428571428571
7,0.75,23,3,0.9285714285714286
7,0.75,23,4,0.9285714285714286
7,1.0,31,0,0.9285714285714286
7,1.0,31,1,0.9285714285714286
7,1.0,31,2,0.9285714285714286
7,1.0,31,3,0.9285714285714286
7,1.0,31,4,0.9285714285714286
8,0.25,7,0,0.5
8,0.25,7,1,0.5
8,0.25,7,2,0.35714285714285715
8,0.25,7,3,0.5714285714285714
8,0.25,7,4,0.35714285714285715
8,0.5,15,0,0.5
8,0.5,15,1,0.7142857142857142
8,0.5,15,2,0.5
8,0.5,15,3,0.6428571428571428
8,0.5,15,4,0.5714285714285714
8,0.75,23,0,0.42857142857142855
8,0.75,23,1,0.3571428571428571
8,0.75,23,2,0.42857142857142855
8,0.75,23,3,0.5
8,0.75,23,4,0.5714285714285714
8,1.0,31,0,0.5714285714285714
8,1.0,31,1,0.5714285714285714
8,1.0,31,2,0.5714285714285714
8,1.0,31,3,0.5714285714285714
8,1.0,31,4,0.5714285714285714
9,0.25,7,0,0.5
9,0.25,7,1,0.42857142857142855
9,0.25,7,2,0.4285714285714286
9,0.25,7,3,0.35714285714285715
9,0.25,7,4,0.42857142857142855
9,0.5,15,0,0.42857142857142855
9,0.5,15,1,0.42857142857142855
9,0.5,15,2,0.3571428571428571
9,0.5,15,3,0.35714285714285715
9,0.5,15,4,0.5
9,0.75,23,0,0.35714285714285715
9,0.75,23,1,0.42857142857142855
9,0.75,23,2,0.4285714285714286
9,0.75,23,3,0.5
9,0.75,23,4,0.42857142857142855
9,1.0,31,0,0.42857142857142855
9,1.0,31,1,0.42857142857142855
9,1.0,31,2,0.42857142857142855
9,1.0,31,3,0.42857142857142855
9,1.0,31,4,0.42857142857142855
10,0.25,7,0,0.35714285714285715
10,0.25,7,1,0.5
10,0.25,7,2,0.5714285714285714
10,0.25,7,3,0.35714285714285715
10,0.25,7,4,0.3571428571428571
10,0.5,15,0,0.5
10,0.5,15,1,0.4285714285714286
10,0.5,15,2,0.5
10,0.5,15,3,0.3571428571428571
10,0.5,15,4,0.3571428571428571
10,0.75,23,0,0.35714285714285715
10,0.75,23,1,0.42857142857142855
10,0.75,23,2,0.6428571428571428
10,0.75,23,3,0.7142857142857142
10,0.75,23,4,0.35714285714285715
10,1.0,31,0,0.35714285714285715
10,1.0,31,1,0.35714285714285715
10,1.0,31,2,0.35714285714285715
10,1.0,31,3,0.35714285714285715
10,1.0,31,4,0.35714285714285715
11,0.25,7,0,0.5714285714285714
11,0.25,7,1,0.5
11,0.25,7,2,0.7142857142857143
11,0.25,7,3,0.35714285714285715
11,0.25,7,4,0.42857142857142855
11,0.5,15,0,0.5714285714285714
11,0.5,15,1,0.6428571428571428
11,0.5,15,2,0.7142857142857142
11,0.5,15,3,0.35714285714285715
11,0.5,15,4,0.6428571428571428
11,0.75,23,0,0.6428571428571428
11,0.75,23,1,0.6428571428571428
11,0.75,23,2,0.5714285714285714
11,0.75,23,3,0.6428571428571428
11,0.75,23,4,0.6428571428571428
11,1.0,31,0,0.6428571428571428
11,1.0,31,1,0.6428571428571428
11,1.0,31,2,0.6428571428571428
11,1.0,31,3,0.6428571428571428
11,1.0,31,4,0.6428571428571428
12,0.25,7,0,0.7857142857142857
12,0.25,7,1,0.3571428571428571
12,0.25,7,2,0.3571428571428571
12,0.25,7,3,0.42857142857142855
12,0.25,7,4,0.5
12,0.5,15,0,0.6428571428571428
12,0.5,15,1,0.3571428571428571
12,0.5,15,2,0.6428571428571428
12,0.5,15,3,0.5
